wavelet_transformed_variance;wavelet_transformed_skewness;wavelet_transformed_curtosis;image_entropy;counterfeit
4.8272;3.0687;0.68604;0.80731;0
2.8969;0.70768;2.29;1.8663;0
2.1464;6.0795;-0.5778;-2.2302;0
-2.1405;-0.16762;1.321;-0.20906;1
-4.8554;-5.9037;10.9818;-0.82199;1
0.5706;-0.024841;1.2421;-0.56208;0
1.9265;7.7557;-0.16823;-3.0771;0
0.066129;2.4914;-2.9401;-0.62156;1
3.757;-5.4236;3.8255;-1.2526;0
0.40614;1.3492;-1.4501;-0.55949;1
-2.3211;3.166;-1.0002;-2.7151;1
1.7496;-0.1759;5.1827;1.2922;0
-2.5526;-7.3625;6.9255;-0.66811;1
-1.2528;10.2036;2.1787;-5.6038;0
5.3586;3.7557;-1.7345;1.0789;0
3.5288;0.71596;1.9507;1.9375;0
5.591;10.4643;-4.3839;-4.3379;0
0.5734;9.1938;-0.9094;-1.872;0
-2.2987;-5.227;5.63;0.91722;1
2.805;0.57732;1.3424;1.2133;0
-2.456;-0.24418;1.4041;-0.45863;1
-1.8584;7.886;-1.6643;-1.8384;0
5.7403;-0.44284;0.38015;1.3763;0
0.44125;2.9487;4.3225;0.7155;0
3.6667;4.302;0.55923;0.33791;0
2.2893;3.733;0.6312;-0.39786;0
2.9421;7.4101;-0.97709;-0.88406;0
-1.8046;-6.8141;6.7019;1.1681;1
-3.4605;2.6901;0.16165;-1.0224;1
1.0235;6.901;-2.0062;-2.7125;0
0.5706;-0.0248;1.2421;-0.5621;0
-7.0364;9.2931;0.16594;-4.5396;1
-2.2527;11.5321;2.5899;-3.2737;0
-0.77848;3.4019;-3.4859;-3.5569;1
-3.2305;-7.2135;11.6433;-0.94613;1
3.2403;-3.7082;5.2804;0.41291;0
4.6689;1.3098;0.055404;1.909;0
1.9358;8.1654;-0.023425;-2.2586;0
4.0047;0.45937;1.3621;1.6181;0
-1.5449;-10.1498;9.6152;-1.2332;1
-3.2692;-12.7406;15.5573;-0.14182;1
-0.21888;-2.2038;-0.0954;0.56421;1
3.8023;-3.8696;4.044;0.95343;0
0.18868;0.70148;-0.51182;0.0055892;1
-0.64472;-4.6062;8.347;-2.7099;0
-1.9177;11.6894;2.5454;-3.2763;0
4.4682;2.2907;0.95766;0.83058;0
0.56232;1.0015;-2.2726;-0.0060486;1
0.15423;0.11794;-1.6823;0.59524;1
2.4527;2.9653;0.20021;-0.056479;0
2.5698;-4.4076;5.9856;0.078002;0
1.3566;4.2358;2.1341;0.3211;0
3.7352;9.5911;-3.9032;-3.3487;0
3.5499;8.6165;-3.2794;-1.2009;0
5.0214;8.0764;-3.0515;-1.7155;0
1.8533;6.1458;1.0176;-2.0401;0
-0.071503;3.7412;-4.5415;-4.2526;1
3.9994;0.90427;1.1693;1.6892;0
-4.0173;-8.3123;12.4547;-1.4375;1
-1.9551;-6.9756;5.5383;-0.12889;1
0.6212;3.6771;-4.0771;-2.0711;1
1.1558;6.4003;1.5506;0.6961;0
-4.1429;2.7749;0.68261;-0.71984;1
2.3969;0.23589;4.8477;1.437;0
3.1219;-3.137;1.9259;-0.37458;0
0.5706;-0.0248;1.2421;-0.5621;0
-5.3012;7.3915;0.029699;-7.3987;1
-1.5951;-6.572;4.7689;-0.94354;1
2.6917;10.8161;-3.3;-4.2888;0
3.1887;-3.4143;2.7742;-0.2026;0
2.6946;6.7976;-0.40301;0.44912;0
-0.278;8.1881;-3.1338;-2.5276;0
-2.2482;3.0915;-2.3969;-2.6711;1
-0.53966;7.3273;0.46583;-1.4543;0
1.4479;-4.8794;8.3428;-2.1086;0
4.5645;-3.6275;2.8684;0.27714;0
-2.3675;-0.43663;1.692;-0.43018;1
3.245;6.63;-0.63435;0.86937;0
4.6765;-3.3895;3.4896;1.4771;0
1.4884;3.6274;3.308;0.48921;0
-0.87874;-2.2121;-0.051701;0.099985;1
3.2303;7.8384;-3.5348;-1.2151;0
5.438;9.4669;-4.9417;-3.9202;0
1.296;4.2855;-4.8457;-2.9013;1
-3.506;-12.5667;15.1606;-0.75216;1
-4.4779;7.3708;-0.31218;-6.7754;1
-1.0116;-0.19038;-0.90597;0.003003;1
1.5077;1.9596;-3.0584;-0.12243;1
-1.4572;9.1214;1.7425;-5.1241;0
-1.9966;-9.5001;9.682;-0.12889;1
2.8261;9.4007;-3.3034;-1.0509;0
0.64215;3.1287;4.2933;0.64696;0
-3.0265;-0.062088;0.68604;-0.055186;1
0.57461;10.1105;-1.6917;-4.3922;0
-3.5798;0.45937;2.3457;-0.45734;1
-2.659;-1.6058;1.3647;0.16464;1
2.4226;-4.5752;5.947;0.21507;0
1.6406;3.5488;1.3964;-0.36424;0
3.7831;10.0526;-3.8869;-3.7366;0
-2.3629;-0.10554;1.9336;1.1358;1
3.9382;0.9291;0.78543;0.6767;0
-4.8392;6.6755;-0.24278;-6.5775;1
5.0452;3.8964;-1.4304;0.86291;0
4.8851;1.5995;-0.00029081;1.6401;0
3.7731;7.2073;-1.6814;-0.94742;0
4.1654;-3.4495;3.643;1.0879;0
2.6799;3.1349;0.34073;0.58489;0
4.0296;2.6756;0.80685;0.71679;0
5.8862;5.8747;-2.8167;-0.30087;0
1.6426;3.0149;0.22849;-0.147;0
1.7875;4.78;-5.1362;-3.2362;1
3.946;6.8514;-1.5443;-0.5582;0
1.8238;-6.7748;8.3873;-0.54139;0
0.86736;5.5643;1.6765;-0.16769;0
-0.539;-5.167;3.4399;0.052141;1
-0.60975;-4.002;1.8471;0.6017;1
-2.9662;-10.3257;8.784;-2.1138;1
-2.2677;3.2964;-2.2563;-2.4642;1
0.50813;0.47799;-1.9804;0.57714;1
5.2868;3.257;-1.3721;1.1668;0
-1.6001;-9.5828;9.4044;0.081882;1
-2.1652;3.0211;-2.4132;-2.4241;1
1.3562;3.2136;4.3465;0.78662;0
5.4188;10.1457;-4.084;-3.6991;0
2.0139;6.1416;0.37929;0.56938;0
4.0102;10.6568;-4.1388;-5.0646;0
-2.4941;3.5447;-1.3721;-2.8483;1
2.8033;9.0862;-3.3668;-1.0224;0
4.3064;8.2068;-2.7824;-1.4336;0
2.6606;3.1681;1.9619;0.18662;0
5.1129;-0.49871;0.62863;1.1189;0
-0.88728;2.808;-3.1432;-1.2035;1
-0.62684;-6.301;4.7843;1.106;1
-2.2173;1.4671;-0.72689;-1.1724;1
-1.2667;2.8183;-2.426;-1.8862;1
-2.6989;12.1984;0.67661;-8.5482;0
